TranDate,Account,Dept,Sum of Amount
02/01/2022,66040,173,3.24
02/01/2022,61540,266,0.7
02/01/2022,65750,281,553.19
02/01/2022,65750,174,6.07
02/01/2022,65750,186,0.37
02/01/2022,65750,286,664.01
02/01/2022,65750,265,129.96
02/01/2022,65750,265,144.4
02/01/2022,65750,163,20.66
02/01/2022,65750,151,67.42
02/01/2022,65750,199,219.63
02/01/2022,65750,186,0.8
02/01/2022,66050,179,37.72
02/01/2022,81350,208,8.49
02/01/2022,86100,266,694.3
02/01/2022,62550,271,6.56
02/01/2022,72070,194,"1,846.72"
02/01/2022,65540,197,55.19
02/01/2022,62530,199,1.76
02/01/2022,73030,178,"1,556.29"
02/01/2022,64020,207,0.32
02/01/2022,86040,162,27.74
02/01/2022,65550,154,66.34
02/01/2022,61550,264,22.71
02/01/2022,85010,253,87.63
02/01/2022,65600,202,12.31
02/01/2022,81170,191,17.31
02/01/2022,62530,175,1.64
02/01/2022,66020,187,14.93
02/01/2022,72160,163,"1,146.88"
02/01/2022,68050,171,1.01
02/01/2022,66050,253,37.72
02/01/2022,73040,271,95.58
02/01/2022,71560,194,80
02/01/2022,62520,184,13.25
02/01/2022,66120,203,2.07
02/01/2022,66550,259,6.75
02/01/2022,73030,157,388.23
02/01/2022,66520,183,8.32
02/01/2022,66070,287,0.21
02/01/2022,81190,210,83.85
02/01/2022,73040,258,698.58
02/01/2022,71310,258,"1,201.66"
02/01/2022,66070,262,0.23
02/01/2022,62510,246,35.08
02/01/2022,72140,226,867.82
02/01/2022,65730,240,4.56
02/01/2022,61520,168,93.75
02/01/2022,62550,203,6.21
02/01/2022,72340,216,336.68
02/01/2022,65900,264,18.23
03/01/2022,66130,235,65.22
03/01/2022,62550,216,8.74
03/01/2022,81180,173,460.75
03/01/2022,62520,209,12.56
03/01/2022,66020,247,14.14
03/01/2022,86450,286,32.12
03/01/2022,73020,198,4.48
03/01/2022,64000,222,101.63
03/01/2022,86320,158,12.77
03/01/2022,85510,154,520.98
03/01/2022,66070,273,0.21
03/01/2022,65590,177,13.12
03/01/2022,66510,242,6.7
03/01/2022,86100,179,25.39
03/01/2022,86270,167,44.55
03/01/2022,61550,228,22.71
03/01/2022,62099,216,16.79
03/01/2022,61550,224,25.24
03/01/2022,73020,161,163.56
03/01/2022,66050,254,39.81
03/01/2022,86320,236,14.19
03/01/2022,73020,200,129.54
03/01/2022,61540,218,0.74
03/01/2022,65740,179,383.05
03/01/2022,83070,246,465.98
03/01/2022,66050,195,41.91
03/01/2022,71240,170,363.65
03/01/2022,66110,161,0.5
03/01/2022,66070,177,1.66
03/01/2022,65740,197,362.89
03/01/2022,65750,229,515.03
03/01/2022,62010,260,178.56
03/01/2022,61540,287,0.7
03/01/2022,86010,285,485.85
03/01/2022,65700,196,42.09
03/01/2022,83020,150,890.01
03/01/2022,62099,223,14.81
03/01/2022,66020,177,15.71
03/01/2022,62550,253,6.21
03/01/2022,65600,251,14.77
03/01/2022,83050,156,722.22
03/01/2022,81900,199,144.08
03/01/2022,86020,293,16.5
03/01/2022,65600,257,22.78
03/01/2022,81900,244,7.73
03/01/2022,62520,181,14.24
03/01/2022,61570,212,47.34
03/01/2022,64010,242,15.27
03/01/2022,61520,290,98.95
03/01/2022,65590,238,11.75
